year,carrier,carrier_name,airport,airport_name,security_delay,top_five
2006,AS,Alaska Airlines Inc.,GEG,"Spokane, WA: Spokane International",142,FALSE
2006,EV,Atlantic Southeast Airlines,GEG,"Spokane, WA: Spokane International",62,FALSE
2006,YV,Mesa Airlines Inc.,GEG,"Spokane, WA: Spokane International",112,FALSE
2006,OO,SkyWest Airlines Inc.,GEG,"Spokane, WA: Spokane International",76,FALSE
2006,WN,Southwest Airlines Co.,GEG,"Spokane, WA: Spokane International",138,FALSE
2006,US,US Airways Inc.,GEG,"Spokane, WA: Spokane International",55,FALSE
2006,OO,SkyWest Airlines Inc.,SGU,"St. George, UT: St George Regional",24,FALSE
2006,AA,American Airlines Inc.,STL,"St. Louis, MO: St Louis Lambert International",643,FALSE
2006,MQ,American Eagle Airlines Inc.,STL,"St. Louis, MO: St Louis Lambert International",48,FALSE
2006,XE,ExpressJet Airlines Inc.,STL,"St. Louis, MO: St Louis Lambert International",574,FALSE
2006,NW,Northwest Airlines Inc.,STL,"St. Louis, MO: St Louis Lambert International",8,FALSE
2006,WN,Southwest Airlines Co.,STL,"St. Louis, MO: St Louis Lambert International",891,FALSE
2006,US,US Airways Inc.,STL,"St. Louis, MO: St Louis Lambert International",11,FALSE
2006,XE,ExpressJet Airlines Inc.,SYR,"Syracuse, NY: Syracuse Hancock International",75,FALSE
2006,B6,JetBlue Airways,SYR,"Syracuse, NY: Syracuse Hancock International",11,FALSE
2006,NW,Northwest Airlines Inc.,SYR,"Syracuse, NY: Syracuse Hancock International",55,FALSE
2006,DL,Delta Air Lines Inc.,TLH,"Tallahassee, FL: Tallahassee International",148,FALSE
2006,XE,ExpressJet Airlines Inc.,TLH,"Tallahassee, FL: Tallahassee International",69,FALSE
2006,AA,American Airlines Inc.,TPA,"Tampa, FL: Tampa International",158,FALSE
2006,CO,Continental Air Lines Inc.,TPA,"Tampa, FL: Tampa International",421,FALSE
2006,DL,Delta Air Lines Inc.,TPA,"Tampa, FL: Tampa International",139,FALSE
2006,B6,JetBlue Airways,TPA,"Tampa, FL: Tampa International",91,FALSE
2006,NW,Northwest Airlines Inc.,TPA,"Tampa, FL: Tampa International",124,FALSE
2006,WN,Southwest Airlines Co.,TPA,"Tampa, FL: Tampa International",1082,FALSE
2006,US,US Airways Inc.,TPA,"Tampa, FL: Tampa International",19,FALSE
2006,EV,Atlantic Southeast Airlines,TOL,"Toledo, OH: Toledo Express",94,FALSE
2006,OO,SkyWest Airlines Inc.,TVC,"Traverse City, MI: Cherry Capital",38,FALSE
2006,AA,American Airlines Inc.,TUS,"Tucson, AZ: Tucson International",16,FALSE
2006,CO,Continental Air Lines Inc.,TUS,"Tucson, AZ: Tucson International",87,FALSE
2006,XE,ExpressJet Airlines Inc.,TUS,"Tucson, AZ: Tucson International",179,FALSE
2006,YV,Mesa Airlines Inc.,TUS,"Tucson, AZ: Tucson International",75,FALSE
2006,OO,SkyWest Airlines Inc.,TUS,"Tucson, AZ: Tucson International",24,FALSE
2006,WN,Southwest Airlines Co.,TUS,"Tucson, AZ: Tucson International",350,FALSE
2006,AA,American Airlines Inc.,TUL,"Tulsa, OK: Tulsa International",55,FALSE
2006,EV,Atlantic Southeast Airlines,TUL,"Tulsa, OK: Tulsa International",123,FALSE
2006,CO,Continental Air Lines Inc.,TUL,"Tulsa, OK: Tulsa International",23,FALSE
2006,XE,ExpressJet Airlines Inc.,TUL,"Tulsa, OK: Tulsa International",478,FALSE
2006,OO,SkyWest Airlines Inc.,TUL,"Tulsa, OK: Tulsa International",151,FALSE
2006,WN,Southwest Airlines Co.,TUL,"Tulsa, OK: Tulsa International",233,FALSE
2006,OO,SkyWest Airlines Inc.,TWF,"Twin Falls, ID: Joslin Field - Magic Valley Regional",23,FALSE
2006,MQ,American Eagle Airlines Inc.,TYR,"Tyler, TX: Tyler Pounds Regional",35,FALSE
2006,EV,Atlantic Southeast Airlines,VPS,"Valparaiso, FL: Eglin AFB Destin Fort Walton Beach",183,FALSE
2006,XE,ExpressJet Airlines Inc.,VPS,"Valparaiso, FL: Eglin AFB Destin Fort Walton Beach",170,FALSE
2006,TZ,ATA Airlines d/b/a ATA,DCA,"Washington, DC: Ronald Reagan Washington National",64,FALSE
